iter	RMSE
0	0.918945028
1	0.8928592737
2	0.8772491227
3	0.8623884512
4	0.8495988542
5	0.839504993
6	0.8321023199
7	0.8219347941
8	0.81430687
9	0.8055792572
10	0.7994465472
11	0.7935073554
12	0.7870048734
13	0.7827152202
14	0.7785213632
15	0.7731271094
16	0.7663628368
17	0.7620543017
18	0.7568000152
19	0.7535638956
20	0.7486299357
21	0.7457025262
22	0.7421903668
23	0.7361053348
24	0.7350040833
25	0.7312441834
26	0.7273726633
27	0.7238115398
28	0.720179959
29	0.7155507544
30	0.7112121264
31	0.7091516825
32	0.7057983213
33	0.7012629396
34	0.6968019014
35	0.6938848988
36	0.6890533295
37	0.6865018279
38	0.6842638366
39	0.6798499932
40	0.6775602937
41	0.6748618592
42	0.6723947534
43	0.670560137
44	0.6670084289
45	0.6642946938
46	0.6602354542
47	0.6573633142
48	0.6557974212
49	0.6537640634
50	0.6495376425
51	0.6473463934
52	0.6500010811
53	0.6478294125
54	0.6464137639
55	0.6445744007
56	0.6426194874
57	0.6406515215
58	0.6380211834
59	0.6367058536
60	0.6338315493
61	0.6321523804
62	0.6303662582
63	0.6289149208
64	0.6277188453
65	0.6263690982
66	0.6233712467
67	0.6215160516
68	0.6202094755
69	0.6188383146
70	0.6175164009
71	0.6160124991
72	0.6136465687
73	0.6120396843
74	0.6110996142
75	0.6096360057
76	0.6075302957
77	0.6052884057
78	0.6045217847
79	0.603351657
80	0.6025430314
81	0.6011627412
82	0.5995174993
83	0.5984550746
84	0.5974829731
85	0.5961067096
86	0.5950182049
87	0.5930996467
88	0.5916855589	89	0.590595790	090	0.58870791	0.5893510303
92	0.5875626298
93	0.5868785477
94	0.5852114794
95	0.5842179499
96	0.5827329659
97	0.5819105167
98	0.5807822781
99	0.5799194693
1
9
