iter	Passed	Remaining
0	140	13938
1	151	7444
2	156	5056
3	160	3862
4	166	3163
5	170	2672
6	175	2330
7	181	2091
8	187	1891
9	192	1730
10	197	1598
11	202	1482
12	207	1387
13	213	1309
14	218	1237
15	223	1171
16	229	1119
17	233	1063
18	238	1014
19	242	969
20	250	941
21	255	904
22	259	868
23	265	840
24	268	804
25	273	778
26	280	758
27	284	732
28	290	710
29	296	692
30	301	671
31	306	651
32	311	631
33	316	614
34	321	596
35	325	579
36	330	561
37	336	548
38	344	538
39	351	526
40	366	527
41	373	515
42	384	509
43	397	505
44	404	493
45	408	479
46	413	465
47	418	453
48	422	439
49	435	435
50	439	422
51	443	409
52	490	434
53	497	423
54	506	414
55	517	406
56	525	396
57	531	384
58	541	376
59	554	369
60	564	361
61	571	350
62	577	339
63	584	328
64	590	318
65	596	307
66	603	297
67	611	287
68	623	280
69	629	269
70	637	260
71	646	251
72	652	241
73	657	230
74	663	221
75	668	211
76	677	202
77	687	193
78	692	183
79	703	175
80	708	166
81	716	157
82	723	148
83	730	139
84	736	129
85	740	120
86	745	111
87	750	102
88	754	93
89	758	84
90	770	76
991	796	69992	804	60993	807	51994	810	42995	816	34996	820	25997	826	16
98	830	8
99	833	0
